NAME,AltNames,Notes,Families,Density,Density U,LHV,LHV U,HHV,HHV U,MarketVal,MarketVal U,Cratio(Mass),Sratio(Mass),IsPrimary,MemberGroups,OptionalID
air->unspecified:Hydrogen,,,,,,,,,,,,,,,,
air->unspecified:Hydrogen chloride,,,,,,,,,,,,,,,,
air->unspecified:Hydrogen cyanide,,,,,,,,,,,,,,,,
air->unspecified:Hydrogen fluoride,,,,,,,,,,,,,,,,
"air->unspecified:Indeno(1,2,3-cd)pyrene",,,,,,,,,,,,,,,,
air->unspecified:Isophorone,,,,,,,,,,,,,,,,
air->unspecified:Kerosene,,,,,,,,,,,,,,,,
air->unspecified:Lead,,,,,,,,,,,,,,,,
air->unspecified:Magnesium,,,,,,,,,,,,,,,,
air->unspecified:Manganese,,,,,,,,,,,,,,,,
"air->unspecified:Mercaptans, unspecified",,,,,,,,,,,,,,,,
air->unspecified:Mercury,,,,,,,,,,,,,,,,
"air->unspecified:Methacrylic acid, methyl ester",,,,,,,,,,,,,,,,
air->unspecified:Methane,,,,,,,,,,,,,,,,
"air->unspecified:Methane, bromo-, Halon 1001",,,,,,,,,,,,,,,,
"air->unspecified:Methane, chlorodifluoro-, HCFC-22",,,,,,,,,,,,,,,,
"air->unspecified:Methane, chlorotrifluoro-, CFC-13",,,,,,,,,,,,,,,,
"air->unspecified:Methane, dichloro-, HCC-30",,,,,,,,,,,,,,,,
"air->unspecified:Methane, fossil",,,,,,,,,,,,,,,,
"air->unspecified:Methane, monochloro-, R-40",,,,,,,,,,,,,,,,
"air->unspecified:Methane, tetrachloro-, CFC-10",,,,,,,,,,,,,,,,
air->unspecified:Methyl ethyl ketone,,,,,,,,,,,,,,,,
air->unspecified:Naphthalene,,,,,,,,,,,,,,,,
air->unspecified:Nickel,,,,,,,,,,,,,,,,
air->unspecified:Nitrogen oxides,,,,,,,,,,,,,,,,
"air->unspecified:NMVOC, non-methane volatile organic compounds, unspecified origin",,,,,,,,,,,,,,,,
air->unspecified:Organic acids,,,,,,,,,,,,,,,,
